"EventCode","EVENTDESCRIPTION","Month","Year","Actor1Code","Actor2Code","EventBaseCode","EventRootCode","QuadClass","NumMentions","Actor1Geo_Type","Actor1Geo_CountryCode","Actor2Geo_CountryCode","ActionGeo_Type","Region","ActionGeo_Lat","ActionGeo_Long","ActionGeo_FeatureID"
"130.0","Threaten, not specified below","3.0","2018.0","REF","SAU","130.0","13.0","3.0","2.0","4.0","SA","SA","4.0","Jizan","16.9","42.6","-3096152"
"130.0","Threaten, not specified below","3.0","2018.0","SAUGOV","CVLCVL","130.0","13.0","3.0","6.0","4.0","SA","SA","4.0","Jizan","16.9","42.6","-3096152"
"130.0","Threaten, not specified below","3.0","2018.0","SAU","CVLCVL","130.0","13.0","3.0","4.0","4.0","SA","SA","4.0","Jizan","16.9","42.6","-3096152"
"130.0","Threaten, not specified below","4.0","2018.0","1","MIL","130.0","13.0","3.0","20.0","0.0","1","SA","4.0","Jizan","16.9","42.6","-3096152"
"130.0","Threaten, not specified below","4.0","2018.0","IRN","UAF","130.0","13.0","3.0","4.0","1.0","IR","SA","4.0","Jizan","16.9","42.6","-3096152"
"130.0","Threaten, not specified below","1.0","2018.0","1","SAU","130.0","13.0","3.0","2.0","0.0","1","SA","4.0","Jizan","16.9","42.6","-3096152"
"130.0","Threaten, not specified below","1.0","2018.0","YEM","SAU","130.0","13.0","3.0","8.0","4.0","SA","SA","4.0","Jizan","16.9","42.6","-3096152"
"130.0","Threaten, not specified below","6.0","2018.0","MED","CVL","130.0","13.0","3.0","2.0","4.0","SA","SA","4.0","Jizan","16.9","42.6","-3096152"
"130.0","Threaten, not specified below","8.0","2018.0","MIL","SAUMED","130.0","13.0","3.0","1.0","4.0","SA","IR","4.0","Jizan","16.9","42.6","-3096152"
"130.0","Threaten, not specified below","8.0","2018.0","YEMMIL","SAU","130.0","13.0","3.0","1.0","4.0","SA","IR","4.0","Jizan","16.9","42.6","-3096152"
"130.0","Threaten, not specified below","9.0","2018.0","SAU","UAF","130.0","13.0","3.0","4.0","4.0","SA","SA","4.0","Jizan","16.9","42.6","-3096152"
"130.0","Threaten, not specified below","5.0","2018.0","SAU","CVL","130.0","13.0","3.0","4.0","4.0","SA","SA","4.0","Jizan","16.9","42.6","-3096152"
"130.0","Threaten, not specified below","5.0","2018.0","1","GOV","130.0","13.0","3.0","10.0","0.0","1","SA","4.0","Jizan","16.9","42.6","-3096152"
"130.0","Threaten, not specified below","5.0","2018.0","PAK","SAU","130.0","13.0","3.0","1.0","4.0","PK","SA","4.0","Jizan","16.9","42.6","-3096152"
"130.0","Threaten, not specified below","5.0","2018.0","PAK","SAU","130.0","13.0","3.0","1.0","4.0","SA","SA","4.0","Jizan","16.9","42.6","-3096152"
"130.0","Threaten, not specified below","1.0","2018.0","1","FRA","130.0","13.0","3.0","2.0","0.0","1","FR","4.0","Asir","19.1","43.0","-3096094"
"130.0","Threaten, not specified below","4.0","2018.0","1","CRM","130.0","13.0","3.0","2.0","0.0","1","US","4.0","Makkah","21.5","39.2","-3096108"
"130.0","Threaten, not specified below","3.0","2018.0","SAU","1","130.0","13.0","3.0","10.0","4.0","SA","1","4.0","Makkah","21.5","39.2","-3096108"
"130.0","Threaten, not specified below","3.0","2018.0","GOVHRI","UAF","130.0","13.0","3.0","6.0","1.0","SY","SA","4.0","Makkah","21.5","39.2","-3096108"
"130.0","Threaten, not specified below","3.0","2018.0","GOVHRI","UAF","130.0","13.0","3.0","4.0","4.0","SA","SA","4.0","Makkah","21.5","39.2","-3096108"
"130.0","Threaten, not specified below","3.0","2018.0","EDU","1","130.0","13.0","3.0","20.0","4.0","SA","1","4.0","Makkah","21.5","39.2","-3096108"
"130.0","Threaten, not specified below","3.0","2018.0","GOV","REL","130.0","13.0","3.0","18.0","4.0","SA","SA","4.0","Makkah","21.5","39.2","-3096108"
"130.0","Threaten, not specified below","3.0","2018.0","USA","IRN","130.0","13.0","3.0","1.0","3.0","US","SA","4.0","Makkah","21.5","39.2","-3096108"
"130.0","Threaten, not specified below","3.0","2018.0","USA","IRN","130.0","13.0","3.0","1.0","3.0","US","IR","4.0","Makkah","21.5","39.2","-3096108"
"130.0","Threaten, not specified below","3.0","2018.0","GOV","CRM","130.0","13.0","3.0","10.0","4.0","SA","SA","4.0","Makkah","21.5","39.2","-3096108"
"130.0","Threaten, not specified below","1.0","2018.0","SAU","1","130.0","13.0","3.0","2.0","4.0","SA","1","4.0","Makkah","21.5","39.2","-3096108"
"130.0","Threaten, not specified below","4.0","2018.0","IGOBUSOPC","BUS","130.0","13.0","3.0","10.0","4.0","SA","SA","4.0","Makkah","21.5","39.2","-3096108"
"130.0","Threaten, not specified below","1.0","2018.0","GOV","EDU","130.0","13.0","3.0","3.0","4.0","SA","SA","4.0","Makkah","21.5","39.2","-3096108"
"130.0","Threaten, not specified below","1.0","2018.0","SAU","GOV","130.0","13.0","3.0","4.0","4.0","SA","SA","4.0","Makkah","21.5","39.2","-3096108"
"130.0","Threaten, not specified below","1.0","2018.0","GOVEDUMED","GOV","130.0","13.0","3.0","3.0","4.0","SA","SA","4.0","Makkah","21.5","39.2","-3096108"
"130.0","Threaten, not specified below","1.0","2018.0","1","SAUCVL","130.0","13.0","3.0","6.0","0.0","1","SA","4.0","Makkah","21.5","39.2","-3096108"
"130.0","Threaten, not specified below","1.0","2018.0","SAUCVL","SAU","130.0","13.0","3.0","2.0","4.0","SA","SA","4.0","Makkah","21.5","39.2","-3096108"
"130.0","Threaten, not specified below","1.0","2018.0","1","MDV","130.0","13.0","3.0","3.0","0.0","1","SA","4.0","Makkah","21.5","39.2","-3096108"
"130.0","Threaten, not specified below","1.0","2018.0","SAU","MDV","130.0","13.0","3.0","2.0","4.0","SA","SA","4.0","Makkah","21.5","39.2","-3096108"
"130.0","Threaten, not specified below","1.0","2018.0","SAUMED","CRM","130.0","13.0","3.0","6.0","4.0","SA","SA","4.0","Makkah","21.5","39.2","-3096108"
